freq(Hz)	6.00e+08	eps_r	4	mu_r	1	sigma	0.00e+00
theta(rad)	RCS(m^2)
0.000000000e+00	5.890243130e+01
1.050699884e-02	5.881742005e+01
2.101399768e-02	5.856298485e+01
3.152099652e-02	5.814091582e+01
4.202799537e-02	5.755417774e+01
5.253499421e-02	5.680688230e+01
6.304199305e-02	5.590424956e+01
7.354899189e-02	5.485255913e+01
8.405599073e-02	5.365909163e+01
9.456298957e-02	5.233206104e+01
1.050699884e-01	5.088053868e+01
1.155769873e-01	4.931436958e+01
1.260839861e-01	4.764408232e+01
1.365909849e-01	4.588079307e+01
1.470979838e-01	4.403610502e+01
1.576049826e-01	4.212200430e+01
1.681119815e-01	4.015075331e+01
1.786189803e-01	3.813478273e+01
1.891259791e-01	3.608658335e+01
1.996329780e-01	3.401859870e+01
2.101399768e-01	3.194311972e+01
2.206469757e-01	2.987218245e+01
2.311539745e-01	2.781746975e+01
2.416609734e-01	2.579021814e+01
2.521679722e-01	2.380113047e+01
2.626749710e-01	2.186029537e+01
2.731819699e-01	1.997711417e+01
2.836889687e-01	1.816023592e+01
2.941959676e-01	1.641750112e+01
3.047029664e-01	1.475589447e+01
3.152099652e-01	1.318150712e+01
3.257169641e-01	1.169950849e+01
3.362239629e-01	1.031412795e+01
3.467309618e-01	9.028646175e+00
3.572379606e-01	7.845396178e+00
3.677449595e-01	6.765773775e+00
3.782519583e-01	5.790257173e+00
3.887589571e-01	4.918435249e+00
3.992659560e-01	4.149044031e+00
4.097729548e-01	3.480010796e+00
4.202799537e-01	2.908505112e+00
4.307869525e-01	2.430996108e+00
4.412939513e-01	2.043315184e+00
4.518009502e-01	1.740723336e+00
4.623079490e-01	1.517982234e+00
4.728149479e-01	1.369428162e+00
4.833219467e-01	1.289047923e+00
4.938289455e-01	1.270555803e+00
5.043359444e-01	1.307470699e+00
5.148429432e-01	1.393192543e+00
5.253499421e-01	1.521077162e+00
5.358569409e-01	1.684508771e+00
5.463639398e-01	1.876969340e+00
5.568709386e-01	2.092104124e+00
5.673779374e-01	2.323782714e+00
5.778849363e-01	2.566155032e+00
5.883919351e-01	2.813701776e+00
5.988989340e-01	3.061278891e+00
6.094059328e-01	3.304155732e+00
6.199129316e-01	3.538046660e+00
6.304199305e-01	3.759135923e+00
6.409269293e-01	3.964095727e+00
6.514339282e-01	4.150097519e+00
6.619409270e-01	4.314816571e+00
6.724479259e-01	4.456430048e+00
6.829549247e-01	4.573608800e+00
6.934619235e-01	4.665503228e+00
7.039689224e-01	4.731723598e+00
7.144759212e-01	4.772315277e+00
7.249829201e-01	4.787729392e+00
