freq(Hz)	flux(W)
4.525169177e+14	1.933141202e-09
4.548023567e+14	1.990478432e-09
4.570877957e+14	2.049632560e-09
4.593732347e+14	2.110671611e-09
4.616586736e+14	2.173666375e-09
4.639441126e+14	2.238690469e-09
4.662295516e+14	2.305820392e-09
4.685149906e+14	2.375135569e-09
4.708004296e+14	2.446718378e-09
4.730858685e+14	2.520654154e-09
4.753713075e+14	2.597031173e-09
4.776567465e+14	2.675940601e-09
4.799421855e+14	2.757476408e-09
4.822276245e+14	2.841735242e-09
4.845130634e+14	2.928816244e-09
4.867985024e+14	3.018820805e-09
4.890839414e+14	3.111852248e-09
4.913693804e+14	3.208015422e-09
4.936548193e+14	3.307416196e-09
4.959402583e+14	3.410160835e-09
4.982256973e+14	3.516355233e-09
5.005111363e+14	3.626103995e-09
5.027965753e+14	3.739509326e-09
5.050820142e+14	3.856669718e-09
5.073674532e+14	3.977678392e-09
5.096528922e+14	4.102621474e-09
5.119383312e+14	4.231575860e-09
5.142237702e+14	4.364606746e-09
5.165092091e+14	4.501764783e-09
5.187946481e+14	4.643082816e-09
5.210800871e+14	4.788572183e-09
5.233655261e+14	4.938218533e-09
5.256509650e+14	5.091977157e-09
5.279364040e+14	5.249767803e-09
5.302218430e+14	5.411468993e-09
5.325072820e+14	5.576911864e-09
5.347927210e+14	5.745873579e-09
5.370781599e+14	5.918070411e-09
5.393635989e+14	6.093150618e-09
5.416490379e+14	6.270687304e-09
5.439344769e+14	6.450171503e-09
5.462199159e+14	6.631005800e-09
5.485053548e+14	6.812498874e-09
5.507907938e+14	6.993861415e-09
5.530762328e+14	7.174203945e-09
5.553616718e+14	7.352537102e-09
5.576471107e+14	7.527775008e-09
5.599325497e+14	7.698742311e-09
5.622179887e+14	7.864185446e-09
5.645034277e+14	8.022788548e-09
5.667888667e+14	8.173194274e-09
5.690743056e+14	8.314029523e-09
5.713597446e+14	8.443935745e-09
5.736451836e+14	8.561603146e-09
5.759306226e+14	8.665807702e-09
5.782160616e+14	8.755449507e-09
5.805015005e+14	8.829590643e-09
5.827869395e+14	8.887490550e-09
5.850723785e+14	8.928636776e-09
5.873578175e+14	8.952769101e-09
5.896432564e+14	8.959895325e-09
5.919286954e+14	8.950297469e-09
5.942141344e+14	8.924527800e-09
5.964995734e+14	8.883394719e-09
5.987850124e+14	8.827939326e-09
6.010704513e+14	8.759404046e-09
6.033558903e+14	8.679195224e-09
6.056413293e+14	8.588841886e-09
6.079267683e+14	8.489952954e-09
6.102122072e+14	8.384175114e-09
6.124976462e+14	8.273153265e-09
6.147830852e+14	8.158495072e-09
6.170685242e+14	8.041740716e-09
6.193539632e+14	7.924338458e-09
6.216394021e+14	7.807626210e-09
6.239248411e+14	7.692818940e-09
6.262102801e+14	7.581001441e-09
6.284957191e+14	7.473125834e-09
6.307811581e+14	7.370013025e-09
6.330665970e+14	7.272357336e-09
6.353520360e+14	7.180733513e-09
6.376374750e+14	7.095605412e-09
6.399229140e+14	7.017335723e-09
6.422083529e+14	6.946196197e-09
6.444937919e+14	6.882377959e-09
6.467792309e+14	6.826001564e-09
6.490646699e+14	6.777126557e-09
6.513501089e+14	6.735760377e-09
6.536355478e+14	6.701866488e-09
6.559209868e+14	6.675371700e-09
6.582064258e+14	6.656172660e-09
6.604918648e+14	6.644141529e-09
6.627773038e+14	6.639130888e-09
6.650627427e+14	6.640977921e-09
6.673481817e+14	6.649507939e-09
6.696336207e+14	6.664537302e-09
6.719190597e+14	6.685875805e-09
6.742044986e+14	6.713328604e-09
6.764899376e+14	6.746697716e-09
6.787753766e+14	6.785783173e-09
