freq(Hz)	6.00e+08	eps_r	4	mu_r	1	sigma	0.00e+00
theta(rad)	RCS(m^2)
0.000000000e+00	5.890243130e+01
1.050699884e-02	5.879413491e+01
2.101399768e-02	5.847021040e+01
3.152099652e-02	5.793353973e+01
4.202799537e-02	5.718888598e+01
5.253499421e-02	5.624283379e+01
6.304199305e-02	5.510370745e+01
7.354899189e-02	5.378146775e+01
8.405599073e-02	5.228758951e+01
9.456298957e-02	5.063492162e+01
1.050699884e-01	4.883753191e+01
1.155769873e-01	4.691053921e+01
1.260839861e-01	4.486993532e+01
1.365909849e-01	4.273239945e+01
1.470979838e-01	4.051510815e+01
1.576049826e-01	3.823554319e+01
1.681119815e-01	3.591130047e+01
1.786189803e-01	3.355990228e+01
1.891259791e-01	3.119861564e+01
1.996329780e-01	2.884427888e+01
2.101399768e-01	2.651313867e+01
2.206469757e-01	2.422069918e+01
2.311539745e-01	2.198158515e+01
2.416609734e-01	1.980941997e+01
2.521679722e-01	1.771671989e+01
2.626749710e-01	1.571480495e+01
2.731819699e-01	1.381372717e+01
2.836889687e-01	1.202221593e+01
2.941959676e-01	1.034764063e+01
3.047029664e-01	8.795990022e+00
3.152099652e-01	7.371867779e+00
3.257169641e-01	6.078503400e+00
3.362239629e-01	4.917777548e+00
3.467309618e-01	3.890260712e+00
3.572379606e-01	2.995264012e+00
3.677449595e-01	2.230900890e+00
3.782519583e-01	1.594158383e+00
3.887589571e-01	1.080976674e+00
3.992659560e-01	6.863356038e-01
4.097729548e-01	4.043468765e-01
4.202799537e-01	2.283507123e-01
4.307869525e-01	1.510157832e-01
4.412939513e-01	1.644413116e-01
4.518009502e-01	2.602602963e-01
4.623079490e-01	4.297428979e-01
4.728149479e-01	6.638990899e-01
4.833219467e-01	9.535797521e-01
4.938289455e-01	1.289575444e+00
5.043359444e-01	1.662712160e+00
5.148429432e-01	2.063943409e+00
5.253499421e-01	2.484438021e+00
5.358569409e-01	2.915663103e+00
5.463639398e-01	3.349461602e+00
5.568709386e-01	3.778123990e+00
5.673779374e-01	4.194453546e+00
5.778849363e-01	4.591824820e+00
5.883919351e-01	4.964234809e+00
5.988989340e-01	5.306346475e+00
6.094059328e-01	5.613524223e+00
6.199129316e-01	5.881861024e+00
6.304199305e-01	6.108196938e+00
6.409269293e-01	6.290128813e+00
6.514339282e-01	6.426011070e+00
6.619409270e-01	6.514947519e+00
6.724479259e-01	6.556774287e+00
6.829549247e-01	6.552034036e+00
6.934619235e-01	6.501941747e+00
