freq(Hz)	E(V/um)
4.525169179e+14	1.626755058e-01
4.548023569e+14	1.634088322e-01
4.570877959e+14	1.641584245e-01
4.593732349e+14	1.649246776e-01
4.616586739e+14	1.657079871e-01
4.639441128e+14	1.665087485e-01
4.662295518e+14	1.673273547e-01
4.685149908e+14	1.681641941e-01
4.708004298e+14	1.690196477e-01
4.730858687e+14	1.698940865e-01
4.753713077e+14	1.707878679e-01
4.776567467e+14	1.717013316e-01
4.799421857e+14	1.726347951e-01
4.822276247e+14	1.735885484e-01
4.845130636e+14	1.745628485e-01
4.867985026e+14	1.755579121e-01
4.890839416e+14	1.765739079e-01
4.913693806e+14	1.776109482e-01
4.936548196e+14	1.786690789e-01
4.959402585e+14	1.797482681e-01
4.982256975e+14	1.808483936e-01
5.005111365e+14	1.819692292e-01
5.027965755e+14	1.831104282e-01
5.050820145e+14	1.842715064e-01
5.073674534e+14	1.854518222e-01
5.096528924e+14	1.866505548e-01
5.119383314e+14	1.878666806e-01
5.142237704e+14	1.890989465e-01
5.165092094e+14	1.903458416e-01
5.187946483e+14	1.916055659e-01
5.210800873e+14	1.928759970e-01
5.233655263e+14	1.941546542e-01
5.256509653e+14	1.954386613e-01
5.279364043e+14	1.967247066e-01
5.302218432e+14	1.980090036e-01
5.325072822e+14	1.992872495e-01
5.347927212e+14	2.005545861e-01
5.370781602e+14	2.018055618e-01
5.393635992e+14	2.030340979e-01
5.416490381e+14	2.042334599e-01
5.439344771e+14	2.053962378e-01
5.462199161e+14	2.065143365e-01
5.485053551e+14	2.075789801e-01
5.507907941e+14	2.085807339e-01
5.530762330e+14	2.095095470e-01
5.553616720e+14	2.103548187e-01
5.576471110e+14	2.111054932e-01
5.599325500e+14	2.117501842e-01
5.622179889e+14	2.122773319e-01
5.645034279e+14	2.126753927e-01
5.667888669e+14	2.129330612e-01
5.690743059e+14	2.130395204e-01
5.713597449e+14	2.129847160e-01
5.736451838e+14	2.127596457e-01
5.759306228e+14	2.123566544e-01
5.782160618e+14	2.117697216e-01
5.805015008e+14	2.109947287e-01
5.827869398e+14	2.100296896e-01
5.850723787e+14	2.088749326e-01
5.873578177e+14	2.075332190e-01
5.896432567e+14	2.060097903e-01
5.919286957e+14	2.043123361e-01
5.942141347e+14	2.024508836e-01
5.964995736e+14	2.004376097e-01
5.987850126e+14	1.982865858e-01
6.010704516e+14	1.960134656e-01
6.033558906e+14	1.936351331e-01
6.056413296e+14	1.911693255e-01
6.079267685e+14	1.886342500e-01
6.102122075e+14	1.860482100e-01
6.124976465e+14	1.834292550e-01
6.147830855e+14	1.807948663e-01
6.170685245e+14	1.781616860e-01
6.193539634e+14	1.755452953e-01
6.216394024e+14	1.729600430e-01
6.239248414e+14	1.704189242e-01
6.262102804e+14	1.679335056e-01
6.284957194e+14	1.655138936e-01
6.307811583e+14	1.631687384e-01
6.330665973e+14	1.609052694e-01
6.353520363e+14	1.587293548e-01
6.376374753e+14	1.566455801e-01
6.399229142e+14	1.546573398e-01
6.422083532e+14	1.527669371e-01
6.444937922e+14	1.509756888e-01
6.467792312e+14	1.492840311e-01
6.490646702e+14	1.476916228e-01
6.513501091e+14	1.461974464e-01
6.536355481e+14	1.447999026e-01
6.559209871e+14	1.434968992e-01
6.582064261e+14	1.422859327e-01
6.604918651e+14	1.411641631e-01
6.627773040e+14	1.401284804e-01
6.650627430e+14	1.391755648e-01
6.673481820e+14	1.383019391e-01
6.696336210e+14	1.375040150e-01
6.719190600e+14	1.367781329e-01
6.742044989e+14	1.361205956e-01
6.764899379e+14	1.355276977e-01
6.787753769e+14	1.349957492e-01
