freq(Hz)	H(A/um)
4.525169179e+14	4.125815266e-05
4.548023569e+14	4.165665223e-05
4.570877959e+14	4.206125979e-05
4.593732349e+14	4.247214040e-05
4.616586739e+14	4.288946149e-05
4.639441128e+14	4.331339236e-05
4.662295518e+14	4.374410374e-05
4.685149908e+14	4.418176712e-05
4.708004298e+14	4.462655409e-05
4.730858687e+14	4.507863546e-05
4.753713077e+14	4.553818031e-05
4.776567467e+14	4.600535477e-05
4.799421857e+14	4.648032072e-05
4.822276247e+14	4.696323423e-05
4.845130636e+14	4.745424372e-05
4.867985026e+14	4.795348794e-05
4.890839416e+14	4.846109351e-05
4.913693806e+14	4.897717227e-05
4.936548196e+14	4.950181808e-05
4.959402585e+14	5.003510336e-05
4.982256975e+14	5.057707496e-05
5.005111365e+14	5.112774970e-05
5.027965755e+14	5.168710915e-05
5.050820145e+14	5.225509384e-05
5.073674534e+14	5.283159682e-05
5.096528924e+14	5.341645637e-05
5.119383314e+14	5.400944796e-05
5.142237704e+14	5.461027533e-05
5.165092094e+14	5.521856066e-05
5.187946483e+14	5.583383386e-05
5.210800873e+14	5.645552086e-05
5.233655263e+14	5.708293105e-05
5.256509653e+14	5.771524382e-05
5.279364043e+14	5.835149435e-05
5.302218432e+14	5.899055880e-05
5.325072822e+14	5.963113911e-05
5.347927212e+14	6.027174773e-05
5.370781602e+14	6.091069264e-05
5.393635992e+14	6.154606327e-05
5.416490381e+14	6.217571787e-05
5.439344771e+14	6.279727315e-05
5.462199161e+14	6.340809708e-05
5.485053551e+14	6.400530592e-05
5.507907941e+14	6.458576668e-05
5.530762330e+14	6.514610613e-05
5.553616720e+14	6.568272781e-05
5.576471110e+14	6.619183821e-05
5.599325500e+14	6.666948319e-05
5.622179889e+14	6.711159563e-05
5.645034279e+14	6.751405469e-05
5.667888669e+14	6.787275670e-05
5.690743059e+14	6.818369700e-05
5.713597449e+14	6.844306118e-05
5.736451838e+14	6.864732348e-05
5.759306228e+14	6.879334905e-05
5.782160618e+14	6.887849621e-05
5.805015008e+14	6.890071399e-05
5.827869398e+14	6.885862999e-05
5.850723787e+14	6.875162364e-05
5.873578177e+14	6.857988016e-05
5.896432567e+14	6.834442148e-05
5.919286957e+14	6.804711145e-05
5.942141347e+14	6.769063425e-05
5.964995736e+14	6.727844625e-05
5.987850126e+14	6.681470362e-05
6.010704516e+14	6.630416898e-05
6.033558906e+14	6.575210186e-05
6.056413296e+14	6.516413831e-05
6.079267685e+14	6.454616535e-05
6.102122075e+14	6.390419580e-05
6.124976465e+14	6.324424851e-05
6.147830855e+14	6.257223816e-05
6.170685245e+14	6.189387785e-05
6.193539634e+14	6.121459661e-05
6.216394024e+14	6.053947291e-05
6.239248414e+14	5.987318424e-05
6.262102804e+14	5.921997238e-05
6.284957194e+14	5.858362293e-05
6.307811583e+14	5.796745757e-05
6.330665973e+14	5.737433732e-05
6.353520363e+14	5.680667476e-05
6.376374753e+14	5.626645336e-05
6.399229142e+14	5.575525221e-05
6.422083532e+14	5.527427450e-05
6.444937922e+14	5.482437832e-05
6.467792312e+14	5.440610869e-05
6.490646702e+14	5.401972981e-05
6.513501091e+14	5.366525671e-05
6.536355481e+14	5.334248582e-05
6.559209871e+14	5.305102383e-05
6.582064261e+14	5.279031484e-05
6.604918651e+14	5.255966524e-05
6.627773040e+14	5.235826655e-05
6.650627430e+14	5.218521597e-05
6.673481820e+14	5.203953485e-05
6.696336210e+14	5.192018490e-05
6.719190600e+14	5.182608256e-05
6.742044989e+14	5.175611141e-05
6.764899379e+14	5.170913285e-05
6.787753769e+14	5.168399525e-05
