freq(Hz)	RCS
4.525169179e+14	2.710107553e-21
4.548023569e+14	2.790546204e-21
4.570877959e+14	2.873535710e-21
4.593732349e+14	2.959171630e-21
4.616586739e+14	3.047553401e-21
4.639441128e+14	3.138784438e-21
4.662295518e+14	3.232972206e-21
4.685149908e+14	3.330228283e-21
4.708004298e+14	3.430668399e-21
4.730858687e+14	3.534412442e-21
4.753713077e+14	3.641584434e-21
4.776567467e+14	3.752312465e-21
4.799421857e+14	3.866728571e-21
4.822276247e+14	3.984968552e-21
4.845130636e+14	4.107171724e-21
4.867985026e+14	4.233480567e-21
4.890839416e+14	4.364040290e-21
4.913693806e+14	4.498998255e-21
4.936548196e+14	4.638503273e-21
4.959402585e+14	4.782704722e-21
4.982256975e+14	4.931751483e-21
5.005111365e+14	5.085790639e-21
5.027965755e+14	5.244965929e-21
5.050820145e+14	5.409415900e-21
5.073674534e+14	5.579271722e-21
5.096528924e+14	5.754654629e-21
5.119383314e+14	5.935672927e-21
5.142237704e+14	6.122418525e-21
5.165092094e+14	6.314962945e-21
5.187946483e+14	6.513352743e-21
5.210800873e+14	6.717604318e-21
5.233655263e+14	6.927698042e-21
5.256509653e+14	7.143571705e-21
5.279364043e+14	7.365113240e-21
5.302218432e+14	7.592152744e-21
5.325072822e+14	7.824453828e-21
5.347927212e+14	8.061704371e-21
5.370781602e+14	8.303506809e-21
5.393635992e+14	8.549368122e-21
5.416490381e+14	8.798689816e-21
5.439344771e+14	9.050758199e-21
5.462199161e+14	9.304735420e-21
5.485053551e+14	9.559651800e-21
5.507907941e+14	9.814400080e-21
5.530762330e+14	1.006773235e-20
5.553616720e+14	1.031826042e-20
5.576471110e+14	1.056446053e-20
5.599325500e+14	1.080468323e-20
5.622179889e+14	1.103716911e-20
5.645034279e+14	1.126007118e-20
5.667888669e+14	1.147148400e-20
5.690743059e+14	1.166947982e-20
5.713597449e+14	1.185215108e-20
5.736451838e+14	1.201765840e-20
5.759306228e+14	1.216428253e-20
5.782160618e+14	1.229047820e-20
5.805015008e+14	1.239492727e-20
5.827869398e+14	1.247658838e-20
5.850723787e+14	1.253474021e-20
5.873578177e+14	1.256901531e-20
5.896432567e+14	1.257942236e-20
5.919286957e+14	1.256635490e-20
5.942141347e+14	1.253058584e-20
5.964995736e+14	1.247324770e-20
5.987850126e+14	1.239579978e-20
6.010704516e+14	1.229998416e-20
6.033558906e+14	1.218777327e-20
6.056413296e+14	1.206131201e-20
6.079267685e+14	1.192285772e-20
6.102122075e+14	1.177472109e-20
6.124976465e+14	1.161921061e-20
6.147830855e+14	1.145858277e-20
6.170685245e+14	1.129499966e-20
6.193539634e+14	1.113049458e-20
6.216394024e+14	1.096694615e-20
6.239248414e+14	1.080606062e-20
6.262102804e+14	1.064936162e-20
6.284957194e+14	1.049818672e-20
6.307811583e+14	1.035368932e-20
6.330665973e+14	1.021684523e-20
6.353520363e+14	1.008846238e-20
6.376374753e+14	9.969193072e-21
6.399229142e+14	9.859547543e-21
6.422083532e+14	9.759908340e-21
6.444937922e+14	9.670544771e-21
6.467792312e+14	9.591627009e-21
6.490646702e+14	9.523239508e-21
6.513501091e+14	9.465393493e-21
6.536355481e+14	9.418038375e-21
6.559209871e+14	9.381072023e-21
6.582064261e+14	9.354349878e-21
6.604918651e+14	9.337692923e-21
6.627773040e+14	9.330894577e-21
6.650627430e+14	9.333726567e-21
6.673481820e+14	9.345943878e-21
6.696336210e+14	9.367288863e-21
6.719190600e+14	9.397494604e-21
6.742044989e+14	9.436287605e-21
6.764899379e+14	9.483389922e-21
6.787753769e+14	9.538520782e-21
