freq(Hz)	RCS
4.525169177e+14	2.710107546e-09
4.548023567e+14	2.790546197e-09
4.570877957e+14	2.873535703e-09
4.593732347e+14	2.959171622e-09
4.616586736e+14	3.047553393e-09
4.639441126e+14	3.138784430e-09
4.662295516e+14	3.232972197e-09
4.685149906e+14	3.330228274e-09
4.708004296e+14	3.430668390e-09
4.730858685e+14	3.534412432e-09
4.753713075e+14	3.641584424e-09
4.776567465e+14	3.752312455e-09
4.799421855e+14	3.866728560e-09
4.822276245e+14	3.984968541e-09
4.845130634e+14	4.107171712e-09
4.867985024e+14	4.233480556e-09
4.890839414e+14	4.364040278e-09
4.913693804e+14	4.498998243e-09
4.936548193e+14	4.638503260e-09
4.959402583e+14	4.782704709e-09
4.982256973e+14	4.931751469e-09
5.005111363e+14	5.085790624e-09
5.027965753e+14	5.244965914e-09
5.050820142e+14	5.409415884e-09
5.073674532e+14	5.579271706e-09
5.096528922e+14	5.754654613e-09
5.119383312e+14	5.935672910e-09
5.142237702e+14	6.122418508e-09
5.165092091e+14	6.314962927e-09
5.187946481e+14	6.513352724e-09
5.210800871e+14	6.717604298e-09
5.233655261e+14	6.927698022e-09
5.256509650e+14	7.143571684e-09
5.279364040e+14	7.365113219e-09
5.302218430e+14	7.592152722e-09
5.325072820e+14	7.824453806e-09
5.347927210e+14	8.061704349e-09
5.370781599e+14	8.303506786e-09
5.393635989e+14	8.549368099e-09
5.416490379e+14	8.798689793e-09
5.439344769e+14	9.050758176e-09
5.462199159e+14	9.304735397e-09
5.485053548e+14	9.559651776e-09
5.507907938e+14	9.814400058e-09
5.530762328e+14	1.006773233e-08
5.553616718e+14	1.031826040e-08
5.576471107e+14	1.056446051e-08
5.599325497e+14	1.080468321e-08
5.622179887e+14	1.103716909e-08
5.645034277e+14	1.126007116e-08
5.667888667e+14	1.147148398e-08
5.690743056e+14	1.166947981e-08
5.713597446e+14	1.185215107e-08
5.736451836e+14	1.201765839e-08
5.759306226e+14	1.216428253e-08
5.782160616e+14	1.229047820e-08
5.805015005e+14	1.239492726e-08
5.827869395e+14	1.247658838e-08
5.850723785e+14	1.253474022e-08
5.873578175e+14	1.256901532e-08
5.896432564e+14	1.257942237e-08
5.919286954e+14	1.256635491e-08
5.942141344e+14	1.253058585e-08
5.964995734e+14	1.247324772e-08
5.987850124e+14	1.239579980e-08
6.010704513e+14	1.229998418e-08
6.033558903e+14	1.218777330e-08
6.056413293e+14	1.206131203e-08
6.079267683e+14	1.192285775e-08
6.102122072e+14	1.177472112e-08
6.124976462e+14	1.161921063e-08
6.147830852e+14	1.145858280e-08
6.170685242e+14	1.129499969e-08
6.193539632e+14	1.113049461e-08
6.216394021e+14	1.096694618e-08
6.239248411e+14	1.080606064e-08
6.262102801e+14	1.064936165e-08
6.284957191e+14	1.049818674e-08
6.307811581e+14	1.035368935e-08
6.330665970e+14	1.021684525e-08
6.353520360e+14	1.008846240e-08
6.376374750e+14	9.969193092e-09
6.399229140e+14	9.859547561e-09
6.422083529e+14	9.759908357e-09
6.444937919e+14	9.670544787e-09
6.467792309e+14	9.591627023e-09
6.490646699e+14	9.523239521e-09
6.513501089e+14	9.465393504e-09
6.536355478e+14	9.418038384e-09
6.559209868e+14	9.381072031e-09
6.582064258e+14	9.354349884e-09
6.604918648e+14	9.337692928e-09
6.627773038e+14	9.330894580e-09
6.650627427e+14	9.333726569e-09
6.673481817e+14	9.345943878e-09
6.696336207e+14	9.367288863e-09
6.719190597e+14	9.397494602e-09
6.742044986e+14	9.436287602e-09
6.764899376e+14	9.483389918e-09
6.787753766e+14	9.538520777e-09
