freq(Hz)	flux(W)
4.525169177e+14	1.000662171e-06
4.548023567e+14	1.047507153e-06
4.570877957e+14	1.096927559e-06
4.593732347e+14	1.149082412e-06
4.616586736e+14	1.204141361e-06
4.639441126e+14	1.262285398e-06
4.662295516e+14	1.323707628e-06
4.685149906e+14	1.388614061e-06
4.708004296e+14	1.457224466e-06
4.730858685e+14	1.529773255e-06
4.753713075e+14	1.606510402e-06
4.776567465e+14	1.687702411e-06
4.799421855e+14	1.773633297e-06
4.822276245e+14	1.864605613e-06
4.845130634e+14	1.960941469e-06
4.867985024e+14	2.062983576e-06
4.890839414e+14	2.171096265e-06
4.913693804e+14	2.285666487e-06
4.936548193e+14	2.407104751e-06
4.959402583e+14	2.535845993e-06
4.982256973e+14	2.672350312e-06
5.005111363e+14	2.817103562e-06
5.027965753e+14	2.970617717e-06
5.050820142e+14	3.133430974e-06
5.073674532e+14	3.306107492e-06
5.096528922e+14	3.489236706e-06
5.119383312e+14	3.683432092e-06
5.142237702e+14	3.889329276e-06
5.165092091e+14	4.107583347e-06
5.187946481e+14	4.338865215e-06
5.210800871e+14	4.583856854e-06
5.233655261e+14	4.843245219e-06
5.256509650e+14	5.117714647e-06
5.279364040e+14	5.407937521e-06
5.302218430e+14	5.714562964e-06
5.325072820e+14	6.038203351e-06
5.347927210e+14	6.379418440e-06
5.370781599e+14	6.738696934e-06
5.393635989e+14	7.116435389e-06
5.416490379e+14	7.512914404e-06
5.439344769e+14	7.928272208e-06
5.462199159e+14	8.362475864e-06
5.485053548e+14	8.815290529e-06
5.507907938e+14	9.286247438e-06
5.530762328e+14	9.774611543e-06
5.553616718e+14	1.027935006e-05
5.576471107e+14	1.079910344e-05
5.599325497e+14	1.133216070e-05
5.622179887e+14	1.187644104e-05
5.645034277e+14	1.242948431e-05
5.667888667e+14	1.298845226e-05
5.690743056e+14	1.355014311e-05
5.713597446e+14	1.411102094e-05
5.736451836e+14	1.466726131e-05
5.759306226e+14	1.521481333e-05
5.782160616e+14	1.574947745e-05
5.805015005e+14	1.626699718e-05
5.827869395e+14	1.676316141e-05
5.850723785e+14	1.723391319e-05
5.873578175e+14	1.767545955e-05
5.896432564e+14	1.808437687e-05
5.919286954e+14	1.845770582e-05
5.942141344e+14	1.879303069e-05
5.964995734e+14	1.908853856e-05
5.987850124e+14	1.934305564e-05
6.010704513e+14	1.955605909e-05
6.033558903e+14	1.972766481e-05
6.056413293e+14	1.985859320e-05
6.079267683e+14	1.995011591e-05
6.102122072e+14	2.000398793e-05
6.124976462e+14	2.002236960e-05
6.147830852e+14	2.000774327e-05
6.170685242e+14	1.996282904e-05
6.193539632e+14	1.989050340e-05
6.216394021e+14	1.979372379e-05
6.239248411e+14	1.967546134e-05
6.262102801e+14	1.953864311e-05
6.284957191e+14	1.938610441e-05
6.307811581e+14	1.922055132e-05
6.330665970e+14	1.904453266e-05
6.353520360e+14	1.886042084e-05
6.376374750e+14	1.867040022e-05
6.399229140e+14	1.847646210e-05
6.422083529e+14	1.828040493e-05
6.444937919e+14	1.808383874e-05
6.467792309e+14	1.788819277e-05
6.490646699e+14	1.769472528e-05
6.513501089e+14	1.750453493e-05
6.536355478e+14	1.731857295e-05
6.559209868e+14	1.713765567e-05
6.582064258e+14	1.696247702e-05
6.604918648e+14	1.679362059e-05
6.627773038e+14	1.663157123e-05
6.650627427e+14	1.647672580e-05
6.673481817e+14	1.632940322e-05
6.696336207e+14	1.618985356e-05
6.719190597e+14	1.605826638e-05
6.742044986e+14	1.593477806e-05
6.764899376e+14	1.581947847e-05
6.787753766e+14	1.571241672e-05
