Wavelength,n,k
1,1.34093,1.35342
1.12207,1.31636,1.86887
1.24415,1.39345,2.3126
1.36622,1.51431,2.69424
1.48829,1.65549,3.02896
1.61037,1.80634,3.32763
1.73244,1.96143,3.59779
1.85452,2.11768,3.84485
1.97659,2.27329,4.07279
2.09866,2.42716,4.28468
2.22074,2.57863,4.48294
2.34281,2.72731,4.66949
2.46488,2.873,4.8459
2.58696,3.01561,5.01346
2.70903,3.15513,5.17325
2.8311,3.29161,5.32616
2.95318,3.42512,5.47296
3.07525,3.55577,5.61428
3.19732,3.68366,5.75067
3.3194,3.80891,5.88261
3.44147,3.93164,6.0105
3.56355,4.05196,6.13469
3.68562,4.16999,6.2555
3.80769,4.28583,6.37318
3.92977,4.39959,6.48799
4.05184,4.51137,6.60011
4.17391,4.62126,6.70975
4.29599,4.72935,6.81706
4.41806,4.83572,6.92219
4.54013,4.94044,7.02527
4.66221,5.0436,7.12642
4.78428,5.14525,7.22574
4.90635,5.24546,7.32335
5.02843,5.34429,7.41931
5.1505,5.44179,7.51372
5.27258,5.53801,7.60664
5.39465,5.63301,7.69815
5.51672,5.72683,7.78831
5.6388,5.8195,7.87718
5.76087,5.91107,7.9648
5.88294,6.00159,8.05123
6.00502,6.09107,8.13652
6.12709,6.17956,8.22071
6.24916,6.26709,8.30384
6.37124,6.35369,8.38594
6.49331,6.43938,8.46706
6.61538,6.52419,8.54723
6.73746,6.60815,8.62648
6.85953,6.69128,8.70483
6.98161,6.7736,8.78233
7.10368,6.85514,8.85899
7.22575,6.93592,8.93484
7.34783,7.01595,9.00991
7.4699,7.09526,9.08422
7.59197,7.17386,9.15779
7.71405,7.25178,9.23063
7.83612,7.32901,9.30278
7.95819,7.4056,9.37426
8.08027,7.48154,9.44507
8.20234,7.55685,9.51523
8.32441,7.63155,9.58478
8.44649,7.70565,9.65371
8.56856,7.77917,9.72205
8.69064,7.85211,9.7898
8.81271,7.92449,9.857
8.93478,7.99632,9.92364
9.05686,8.06762,9.98974
9.17893,8.13838,10.0553
9.301,8.20863,10.1204
9.42308,8.27837,10.1849
9.54515,8.34762,10.249
9.66722,8.41637,10.3126
9.7893,8.48466,10.3757
9.91137,8.55247,10.4384
10.0334,8.61982,10.5006
10.1555,8.68672,10.5624
10.2776,8.75318,10.6237
10.3997,8.8192,10.6846
10.5217,8.88479,10.7452
10.6438,8.94997,10.8053
10.7659,9.01473,10.865
10.888,9.07909,10.9243
11.01,9.14304,10.9832
11.1321,9.20661,11.0418
11.2542,9.26979,11.1
11.3763,9.33259,11.1578
11.4983,9.39502,11.2153
11.6204,9.45708,11.2725
11.7425,9.51878,11.3293
11.8645,9.58013,11.3857
11.9866,9.64112,11.4419
12.1087,9.70178,11.4977
12.2308,9.76209,11.5532
12.3528,9.82207,11.6084
12.4749,9.88172,11.6632
12.597,9.94105,11.7178
12.7191,10.0001,11.7721
12.8411,10.0588,11.8261
12.9632,10.1171,11.8798
13.0853,10.1752,11.9332
13.2074,10.233,11.9864
13.3294,10.2905,12.0392
13.4515,10.3477,12.0918
13.5736,10.4046,12.1442
13.6957,10.4612,12.1962
13.8177,10.5175,12.2481
13.9398,10.5736,12.2996
14.0619,10.6294,12.351
14.1839,10.6849,12.402
14.306,10.7402,12.4529
14.4281,10.7952,12.5034
14.5502,10.8499,12.5538
14.6722,10.9044,12.6039
14.7943,10.9586,12.6538
14.9164,11.0126,12.7035
15.0385,11.0664,12.753
15.1605,11.1199,12.8022
15.2826,11.1731,12.8512
15.4047,11.2261,12.9
15.5268,11.2789,12.9486
15.6488,11.3315,12.997
15.7709,11.3838,13.0452
15.893,11.4359,13.0931
16.0151,11.4878,13.1409
16.1371,11.5395,13.1885
16.2592,11.5909,13.2359
16.3813,11.6421,13.2831
16.5033,11.6932,13.3301
16.6254,11.744,13.3769
16.7475,11.7946,13.4235
16.8696,11.845,13.47
16.9916,11.8952,13.5163
17.1137,11.9452,13.5623
17.2358,11.995,13.6083
17.3579,12.0446,13.654
17.4799,12.094,13.6996
17.602,12.1432,13.745
17.7241,12.1922,13.7902
17.8462,12.2411,13.8353
17.9682,12.2897,13.8802
18.0903,12.3382,13.9249
18.2124,12.3865,13.9695
18.3344,12.4346,14.0139
18.4565,12.4825,14.0582
18.5786,12.5303,14.1023
18.7007,12.5779,14.1462
18.8227,12.6253,14.19
18.9448,12.6726,14.2337
19.0669,12.7196,14.2772
19.189,12.7665,14.3205
19.311,12.8133,14.3637
19.4331,12.8599,14.4068
19.5552,12.9063,14.4497
19.6773,12.9525,14.4925
19.7993,12.9986,14.5351
19.9214,13.0446,14.5776
20.0435,13.0904,14.62
20.1656,13.136,14.6622
20.2876,13.1815,14.7043
20.4097,13.2268,14.7463
20.5318,13.272,14.7881
20.6538,13.317,14.8298
20.7759,13.3619,14.8714
20.898,13.4066,14.9128
21.0201,13.4512,14.9541
21.1421,13.4957,14.9953
21.2642,13.54,15.0364
21.3863,13.5841,15.0773
21.5084,13.6282,15.1181
21.6304,13.6721,15.1588
21.7525,13.7158,15.1994
21.8746,13.7594,15.2399
21.9967,13.8029,15.2802
22.1187,13.8463,15.3204
22.2408,13.8895,15.3606
22.3629,13.9326,15.4006
22.4849,13.9755,15.4404
22.607,14.0184,15.4802
22.7291,14.0611,15.5199
22.8512,14.1036,15.5594
22.9732,14.1461,15.5989
23.0953,14.1884,15.6382
23.2174,14.2306,15.6774
23.3395,14.2727,15.7165
23.4615,14.3147,15.7555
23.5836,14.3565,15.7945
23.7057,14.3982,15.8333
23.8278,14.4398,15.872
23.9498,14.4813,15.9106
24.0719,14.5227,15.9491
24.194,14.5639,15.9874
24.3161,14.6051,16.0257
24.4381,14.6461,16.0639
24.5602,14.687,16.102
24.6823,14.7278,16.14
24.8043,14.7685,16.1779
24.9264,14.8091,16.2158
25.0485,14.8495,16.2535
25.1706,14.8899,16.2911
25.2926,14.9302,16.3286
25.4147,14.9703,16.366
25.5368,15.0103,16.4034
25.6589,15.0503,16.4406
25.7809,15.0901,16.4778
25.903,15.1298,16.5149
26.0251,15.1695,16.5518
26.1472,15.209,16.5887
26.2692,15.2484,16.6255
26.3913,15.2877,16.6623
26.5134,15.327,16.6989
26.6355,15.3661,16.7354
26.7575,15.4051,16.7719
26.8796,15.444,16.8083
27.0017,15.4829,16.8445
