wavelength_m,real_index,imaginary_index
5.00779E-07,2.037005934,0
5.02364E-07,2.036655934,0
5.0395E-07,2.036305934,0
5.05535E-07,2.035955934,0
5.0712E-07,2.035615934,0
5.08706E-07,2.035275934,0
5.10291E-07,2.034935934,0
5.11876E-07,2.034605934,0
5.13461E-07,2.034275934,0
5.15047E-07,2.033955934,0
5.16632E-07,2.033625934,0
5.18217E-07,2.033305934,0
5.19802E-07,2.032995934,0
5.21387E-07,2.032685934,0
5.22973E-07,2.032375934,0
5.24558E-07,2.032065934,0
5.26143E-07,2.031765934,0
5.27728E-07,2.031465934,0
5.29313E-07,2.031165934,0
5.30898E-07,2.030875934,0
5.32483E-07,2.030585934,0
5.34067E-07,2.030295934,0
5.35652E-07,2.030005934,0
5.37237E-07,2.029725934,0
5.38822E-07,2.029445934,0
5.40407E-07,2.029175934,0
5.41991E-07,2.028895934,0
5.43576E-07,2.028625934,0
5.45161E-07,2.028355934,0
5.46745E-07,2.028095934,0
5.4833E-07,2.027825934,0
5.49914E-07,2.027565934,0
5.51499E-07,2.027305934,0
5.53083E-07,2.027055934,0
5.54668E-07,2.026795934,0
5.56252E-07,2.026545934,0
5.57837E-07,2.026295934,0
5.59421E-07,2.026055934,0
5.61005E-07,2.025805934,0
5.6259E-07,2.025565934,0
5.64174E-07,2.025325934,0
5.65758E-07,2.025085934,0
5.67342E-07,2.024855934,0
5.68926E-07,2.024625934,0
5.7051E-07,2.024385934,0
5.72094E-07,2.024165934,0
5.73678E-07,2.023935934,0
5.75262E-07,2.023705934,0
5.76846E-07,2.023485934,0
5.7843E-07,2.023265934,0
5.80013E-07,2.023045934,0
5.81597E-07,2.022835934,0
5.83181E-07,2.022615934,0
5.84765E-07,2.022405934,0
5.86348E-07,2.022195934,0
5.87932E-07,2.021985934,0
5.89515E-07,2.021775934,0
5.91099E-07,2.021575934,0
5.92682E-07,2.021365934,0
5.94265E-07,2.021165934,0
5.95849E-07,2.020965934,0
5.97432E-07,2.020765934,0
5.99015E-07,2.020575934,0
6.00598E-07,2.020375934,0
6.02181E-07,2.020185934,0
6.03764E-07,2.019995934,0
6.05347E-07,2.019805934,0
6.0693E-07,2.019615934,0
6.08513E-07,2.019425934,0
6.10096E-07,2.019245934,0
6.11679E-07,2.019055934,0
6.13261E-07,2.018875934,0
6.14844E-07,2.018695934,0
6.16427E-07,2.018515934,0
6.18009E-07,2.018345934,0
6.19592E-07,2.018165934,0
6.21174E-07,2.017985934,0
6.22756E-07,2.017815934,0
6.24339E-07,2.017645934,0
6.25921E-07,2.017475934,0
6.27503E-07,2.017305934,0
6.29085E-07,2.017135934,0
6.30667E-07,2.016975934,0
6.32249E-07,2.016805934,0
6.33831E-07,2.016645934,0
6.35413E-07,2.016485934,0
